title,city,country,apartment_type,district,guests,bedrooms,beds,baths,amenities,price,rating,reviews,is_superhost,listing_url,image_url
OLD TOWN spacy apartment,Vilnius,Lithuania,Entire apartment,Vilnius,4,1,2,1 bath,"['Kitchen', 'Wifi', 'Free parking', 'Self check-in']",78,4.97,112,TRUE,https://www.airbnb.com/rooms/41527214?adults=1&children=0&infants=0&check_in=2021-05-21&check_out=2021-05-23&previous_page_section_name=1000&federated_search_id=8883aa1a-f1eb-46aa-947c-cd3dc787383e,https://a0.muscache.com/im/pictures/7299dc7e-a8c1-4e7b-b3b2-d8a6804f167b.jpg?im_w=720
HEART OF OLD TOWN - TRAKU STUDIO,Vilnius,Lithuania,Entire apartment,Vilnius,2,Studio,1,1 bath,"['Kitchen', 'Wifi', 'Free parking', 'Self check-in']",26,4.65,211,FALSE,https://www.airbnb.com/rooms/12829595?adults=1&children=0&infants=0&check_in=2021-05-28&check_out=2021-05-30&previous_page_section_name=1000&federated_search_id=8883aa1a-f1eb-46aa-947c-cd3dc787383e,https://a0.muscache.com/im/pictures/90555ad6-3fd7-4e1d-b8a5-b0ec96d7ce16.jpg?im_w=720
"Happy Inn Presidential, Self check-in, parking",Vilnius,Lithuania,Entire serviced apartment,Vilnius,4,1,2,1 bath,"['Kitchen', 'Wifi', 'Self check-in']",59,4.95,22,TRUE,https://www.airbnb.com/rooms/34949662?adults=1&children=0&infants=0&check_in=2021-05-28&check_out=2021-05-30&previous_page_section_name=1000&federated_search_id=8883aa1a-f1eb-46aa-947c-cd3dc787383e,https://a0.muscache.com/im/pictures/f2c3b2a2-c7d8-4580-8eb6-c42833b74681.jpg?im_w=720
LITTLE TOWER STUDIO apartment in Vilnius Old Town,Vilnius,Lithuania,Entire loft,Vilnius,3,Studio,1,1.5 baths,"['Kitchen', 'Wifi', 'Free parking', 'Self check-in']",57,4.98,53,TRUE,https://www.airbnb.com/rooms/46920144?adults=1&children=0&infants=0&check_in=2021-05-14&check_out=2021-05-16&previous_page_section_name=1000&federated_search_id=8883aa1a-f1eb-46aa-947c-cd3dc787383e,https://a0.muscache.com/im/pictures/4716f353-4e3f-44a6-b565-5c0fb02faa91.jpg?im_w=720
Cozy and spacious apartment in old town,Vilnius,Lithuania,Entire apartment,Vilnius,6,1,3,1 bath,"['Kitchen', 'Wifi', 'Free parking']",48,4.86,139,TRUE,https://www.airbnb.com/rooms/18193024?adults=1&children=0&infants=0&check_in=2021-05-07&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=8883aa1a-f1eb-46aa-947c-cd3dc787383e,https://a0.muscache.com/im/pictures/65973bd9-21e6-470d-b03d-a0639ab0f106.jpg?im_w=720
Cozy Beautiful Studio in Vilnius Center,Vilnius,Lithuania,Entire apartment,Vilnius,2,Studio,2,1 bath,"['Kitchen', 'Wifi', 'Free parking']",28,,,FALSE,https://www.airbnb.com/rooms/49421154?adults=1&children=0&infants=0&check_in=2021-05-07&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=8883aa1a-f1eb-46aa-947c-cd3dc787383e,https://a0.muscache.com/im/pictures/288d82e5-0e36-4dd1-914a-ea88e1856594.jpg?im_w=720
⥣3 bdr+free parking+24H self check-in+A/c+centre⥣,Vilnius,Lithuania,Entire apartment,Vilnius,6,3,3,1 bath,"['Kitchen', 'Wifi', 'Free parking', 'Self check-in']",99,4.96,157,TRUE,https://www.airbnb.com/rooms/30764240?adults=1&children=0&infants=0&check_in=2021-05-07&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=8883aa1a-f1eb-46aa-947c-cd3dc787383e,https://a0.muscache.com/im/pictures/44686020-4b1c-4d12-9a06-fd7083141348.jpg?im_w=720
555 Loft FITL (free internet throughout Lithuania),Vilnius,Lithuania,Entire loft,Vilnius,3,1,1,1 bath,"['Kitchen', 'Wifi', 'Free parking', 'Self check-in']",31,4.93,82,TRUE,https://www.airbnb.com/rooms/37458265?adults=1&children=0&infants=0&check_in=2021-06-04&check_out=2021-06-06&previous_page_section_name=1000&federated_search_id=8883aa1a-f1eb-46aa-947c-cd3dc787383e,https://a0.muscache.com/im/pictures/1902b68f-57de-446e-b17b-dcd5fbc8f827.jpg?im_w=720
Old town Food Market studio + free parking,Vilnius,Lithuania,Entire apartment,Vilnius,2,1,1,1 bath,"['Kitchen', 'Wifi', 'Free parking', 'Self check-in']",41,4.76,220,FALSE,https://www.airbnb.com/rooms/26444334?adults=1&children=0&infants=0&check_in=2021-05-07&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=8883aa1a-f1eb-46aa-947c-cd3dc787383e,https://a0.muscache.com/im/pictures/74408270-a8e5-44bb-a576-16ac9ba77cf7.jpg?im_w=720
Luxury apartment near cathedral1,Vilnius,Lithuania,Entire apartment,Vilnius,4,Studio,2,1 bath,"['Kitchen', 'Wifi', 'Free parking']",61,4.89,91,TRUE,https://www.airbnb.com/rooms/34776757?adults=1&children=0&infants=0&check_in=2021-05-21&check_out=2021-05-23&previous_page_section_name=1000&federated_search_id=8883aa1a-f1eb-46aa-947c-cd3dc787383e,https://a0.muscache.com/im/pictures/b6f78b13-1f52-4cd9-a9b9-2e6ac6e65615.jpg?im_w=720
COSY sauna house romantic getaway 14km fromVilnius,Vilnius,Lithuania,Tiny house,Vilniaus rajono savivaldybė,2,1,1,1 bath,"['Kitchen', 'Wifi', 'Free parking', 'Self check-in']",135,4.91,35,TRUE,https://www.airbnb.com/rooms/46543418?adults=1&children=0&infants=0&check_in=2021-05-21&check_out=2021-05-23&previous_page_section_name=1000&federated_search_id=8883aa1a-f1eb-46aa-947c-cd3dc787383e,https://a0.muscache.com/im/pictures/eb918b31-d916-4bda-bf9e-7289676bf806.jpg?im_w=720
